"@timestamp","owner.id","edge_media_preview_like.count","edge_media_to_comment.count","location.id","location.name","location.slug","taken_at_timestamp"
"Mar 14, 2020 @ 00:33:49.233",540867181,"1,125",63,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,464,766,764"
"Mar 14, 2020 @ 00:33:49.232",540867181,"3,541",108,1017385637,"Darling Cafe","darling-cafe","1,464,851,054"
"Mar 14, 2020 @ 00:33:49.231",540867181,"1,119",49,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,464,868,483"
"Mar 14, 2020 @ 00:33:49.228",540867181,"1,308",85,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,465,109,160"
"Mar 14, 2020 @ 00:33:49.226",540867181,"1,470",77,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,465,283,565"
"Mar 14, 2020 @ 00:33:49.225",540867181,"1,954",58,252769109,"InterContinental Bali Resort","intercontinental-bali-resort","1,465,294,085"
"Mar 14, 2020 @ 00:33:49.224",540867181,"2,478",120,255467870,"Oia, Santorini","oia-santorini","1,465,471,743"
"Mar 14, 2020 @ 00:33:47.559",540867181,"2,363",90,7614648,MAXMEDIALAB,maxmedialab,"1,465,546,591"
"Mar 14, 2020 @ 00:33:47.557",540867181,"2,306",69,770098825,"Square and Compass Cafe","square-and-compass-cafe","1,465,626,055"
"Mar 14, 2020 @ 00:33:47.555",540867181,"2,347",76,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,465,800,504"
"Mar 14, 2020 @ 00:33:47.554",540867181,"3,340",123,213011753,"Sydney, Australia","sydney-australia","1,465,887,943"
"Mar 14, 2020 @ 00:33:47.553",540867181,"2,183",55,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,465,972,962"
"Mar 14, 2020 @ 00:33:47.552",540867181,"1,366",43,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,465,988,588"
"Mar 14, 2020 @ 00:33:47.551",540867181,"8,187",206,246302481,"Santorini, Greece","santorini-greece","1,466,061,225"
"Mar 14, 2020 @ 00:33:47.549",540867181,"1,533",39,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,466,303,634"
"Mar 14, 2020 @ 00:33:47.547",540867181,"1,451",86,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,466,662,867"
"Mar 14, 2020 @ 00:33:47.545",540867181,"2,070",81,406295,"Sofitel Sydney Wentworth","sofitel-sydney-wentworth","1,466,823,759"
"Mar 14, 2020 @ 00:33:47.543",540867181,"1,472",47,406295,"Sofitel Sydney Wentworth","sofitel-sydney-wentworth","1,466,909,444"
"Mar 14, 2020 @ 00:33:47.542",540867181,"1,705",38,707516789,"Bronte Beach Sydney","bronte-beach-sydney","1,466,924,024"
"Mar 14, 2020 @ 00:33:47.541",540867181,"1,605",77,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,467,011,404"
"Mar 14, 2020 @ 00:33:47.540",540867181,"2,417",77,1022115697,"The Rabbit Hole, Organic Tea bar","the-rabbit-hole-organic-tea-bar","1,467,095,991"
"Mar 14, 2020 @ 00:33:47.539",540867181,"1,398",72,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,467,108,253"
"Mar 14, 2020 @ 00:33:47.538",540867181,"1,903",43,279922202360656,"Zumbo Cafe","zumbo-cafe","1,467,183,170"
"Mar 14, 2020 @ 00:33:47.537",540867181,"1,146",62,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,467,194,400"
"Mar 14, 2020 @ 00:33:47.536",540867181,"2,661",93,143369916069507,"Aqua S, QV","aqua-s-qv","1,467,270,335"
"Mar 14, 2020 @ 00:33:47.534",540867181,"1,799",64,406295,"Sofitel Sydney Wentworth","sofitel-sydney-wentworth","1,467,429,091"
"Mar 14, 2020 @ 00:33:47.533",540867181,"2,506",78,1313562,"Novotel Barossa Valley Resort","novotel-barossa-valley-resort","1,467,516,434"
"Mar 14, 2020 @ 00:33:47.532",540867181,"1,992",78,408877525,"Jacobs Creek, Barossa Valley","jacobs-creek-barossa-valley","1,467,702,166"
"Mar 14, 2020 @ 00:33:47.531",540867181,"1,453",124,566981948,Australia,australia,"1,467,721,296"
"Mar 14, 2020 @ 00:33:47.530",540867181,"1,514",61,566981948,Australia,australia,"1,467,803,513"
"Mar 14, 2020 @ 00:33:47.529",540867181,"2,332",71,1313562,"Novotel Barossa Valley Resort","novotel-barossa-valley-resort","1,467,873,861"
"Mar 14, 2020 @ 00:33:47.528",540867181,"1,891",49,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,468,129,570"
"Mar 14, 2020 @ 00:33:47.527",540867181,"4,835",136,246302481,"Santorini, Greece","santorini-greece","1,468,217,412"
"Mar 14, 2020 @ 00:33:47.526",540867181,"1,727",53,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,468,304,210"
"Mar 14, 2020 @ 00:33:47.525",540867181,"1,897",70,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,468,392,891"
"Mar 14, 2020 @ 00:33:47.523",540867181,"2,763",92,230734647,"Mykonos, Greece","mykonos-greece","1,468,563,556"
"Mar 14, 2020 @ 00:33:47.522",540867181,"1,749",89,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,468,738,593"
"Mar 14, 2020 @ 00:33:47.521",540867181,"8,602",169,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,468,822,603"
"Mar 14, 2020 @ 00:33:47.519",540867181,"1,963",123,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,468,908,806"
"Mar 14, 2020 @ 00:33:47.518",540867181,"2,507",100,246302481,"Santorini, Greece","santorini-greece","1,469,083,010"
"Mar 14, 2020 @ 00:33:47.517",540867181,"2,442",55,476415982548833,"Novotel Barossa Valley Resort","novotel-barossa-valley-resort","1,469,169,484"
"Mar 14, 2020 @ 00:33:47.516",540867181,"3,200",117,270531492,Italy,italy,"1,469,253,035"
"Mar 14, 2020 @ 00:33:47.515",540867181,"2,431",101,216394014,"Grand Hyatt Melbourne","grand-hyatt-melbourne","1,469,339,992"
"Mar 14, 2020 @ 00:33:47.514",540867181,"1,798",101,464376938,"Fashion On Top","fashion-on-top","1,469,428,683"
"Mar 14, 2020 @ 00:33:47.513",540867181,"3,176",229,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,469,513,658"
"Mar 14, 2020 @ 00:33:47.512",540867181,"2,390",111,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,469,600,970"
"Mar 14, 2020 @ 00:33:47.511",540867181,"4,205",93,1313562,"Novotel Barossa Valley Resort","novotel-barossa-valley-resort","1,469,686,246"
"Mar 14, 2020 @ 00:33:47.510",540867181,"2,922",169,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,469,772,529"
"Mar 14, 2020 @ 00:33:47.509",540867181,"3,549",91,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,469,858,698"
"Mar 14, 2020 @ 00:33:47.508",540867181,"5,074",103,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,469,944,286"
"Mar 14, 2020 @ 00:33:47.507",540867181,"1,862",82,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,470,121,845"
"Mar 14, 2020 @ 00:33:47.505",540867181,"7,893",117,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,470,206,982"
"Mar 14, 2020 @ 00:33:45.146",540867181,"3,737",143,213069300,"Melbourne, Victoria, Australia","melbourne-victoria-australia","1,470,295,074"
"Mar 14, 2020 @ 00:33:45.145",540867181,"2,910",70,214178761,"Rocket Coffeebar","rocket-coffeebar","1,470,379,091"
